;eco;name;pgn
30;A00;Grob Opening: Grob Gambit, Keres Gambit;1. g4 d5 2. Bg2 e5 3. d4 exd4 4. c3
31;A00;Grob Opening: Grob Gambit, Richter-Grob Gambit;1. g4 d5 2. Bg2 c6 3. c4 dxc4 4. b3
32;A00;Grob Opening: Keene Defense;1. g4 d5 2. h3 e5 3. Bg2 c6
33;A00;Grob Opening: Keene Defense, Main Line;1. g4 d5 2. h3 e5 3. Bg2 c6 4. d4 e4 5. c4 Bd6 6. Nc3 Ne7
34;A00;Grob Opening: London Defense;1. g4 e5 2. h3 Nc6
35;A00;Grob Opening: Romford Countergambit;1. g4 d5 2. Bg2 Bxg4 3. c4 d4
36;A00;Grob Opening: Spike Attack;1. g4 d5 2. Bg2 c6 3. g5
37;A00;Grob Opening: Spike, Hurst Attack;1. g4 e5 2. Bg2 d5 3. c4
38;A00;Grob Opening: Zilbermints Gambit;1. g4 d5 2. e4 dxe4 3. Nc3
39;A00;Grob Opening: Zilbermints Gambit, Schiller Defense;1. g4 d5 2. e4 dxe4 3. Nc3 h5
40;A00;Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit;1. g4 d5 2. e4 dxe4 3. Nc3 e5 4. d3
41;A00;Hungarian Opening;1. g3
42;A00;Hungarian Opening: Asten Gambit;1. g3 Nc6 2. Nc3 d5 3. d4 e5 4. dxe5 d4 5. Ne4 f5
43;A00;Hungarian Opening: Burk Gambit;1. g3 e5 2. a3 d5 3. Nf3 e4 4. Nh4 Be7 5. d3
44;A00;Hungarian Opening: Bücker Gambit;1. g3 d5 2. Bg2 e5 3. b4
45;A00;Hungarian Opening: Catalan Formation;1. g3 d5 2. Bg2 e6
46;A00;Hungarian Opening: Dutch Defense;1. g3 f5
47;A00;Hungarian Opening: Indian Defense;1. g3 Nf6
48;A00;Hungarian Opening: Myers Defense;1. g3 g5
49;A00;Hungarian Opening: Pachman Gambit;1. g3 f5 2. e4 fxe4 3. Qh5+ g6
50;A00;Hungarian Opening: Paris Gambit;1. g3 e5 2. Nh3 d5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O
51;A00;Hungarian Opening: Reversed Alekhine;1. g3 e5 2. Nf3
52;A00;Hungarian Opening: Reversed Brooklyn Defense, Brooklyn Benko Gambit;1. g3 e5 2. Nf3 e4 3. Ng1 Nf6 4. b4
53;A00;Hungarian Opening: Reversed Modern Defense;1. g3 d5 2. Bg2 c5
54;A00;Hungarian Opening: Reversed Norwegian Defense;1. g3 e5 2. Nf3 e4 3. Nh4
55;A00;Hungarian Opening: Sicilian Invitation;1. g3 c5
56;A00;Hungarian Opening: Slav Formation;1. g3 d5 2. Bg2 c6
57;A00;Hungarian Opening: Symmetrical Variation;1. g3 g6
58;A00;Hungarian Opening: Van Kuijk Gambit;1. g3 h5 2. Nf3 h4
59;A00;Hungarian Opening: Winterberg Gambit;1. g3 d5 2. Bg2 e5 3. c4 dxc4 4. b3
60;A00;Indian Defense: Colle System, King's Indian Variation;1. e3 d6 2. d4 g6 3. Nf3 Bg7 4. Bd3 Nf6
61;A00;Kádas Opening;1. h4
62;A00;Kádas Opening: Beginner's Trap;1. h4 d5 2. Rh3
63;A00;Kádas Opening: Kádas Gambit;1. h4 c5 2. b4
64;A00;Kádas Opening: Kádas Gambit;1. h4 d5 2. d4 c5 3. Nf3 cxd4 4. c3
65;A00;Kádas Opening: Kádas Gambit;1. h4 e5 2. d4 exd4 3. c3
66;A00;Kádas Opening: Myers Variation;1. h4 d5 2. d4 c5 3. e4
67;A00;Kádas Opening: Schneider Gambit;1. h4 g5
68;A00;Kádas Opening: Steinbok Gambit;1. h4 f5 2. e4 fxe4 3. d3
69;A00;Lasker Simul Special;1. g3 h5
70;A00;Mieses Opening;1. d3
71;A00;Mieses Opening: Myers Spike Attack;1. d3 g6 2. g4
72;A00;Mieses Opening: Reversed Rat;1. d3 e5
73;A00;Polish Opening;1. b4
74;A00;Polish Opening: Baltic Defense;1. b4 d5 2. Bb2 Bf5
75;A00;Polish Opening: Birmingham Gambit;1. b4 c5
76;A00;Polish Opening: Bugayev Advance Variation;1. b4 e5 2. Bb2 f6 3. b5
77;A00;Polish Opening: Bugayev Attack;1. b4 e5 2. a3
78;A00;Polish Opening: Czech Defense;1. b4 e5 2. Bb2 d6
79;A00;Polish Opening: Dutch Defense;1. b4 f5
80;A00;Polish Opening: German Defense;1. b4 d5 2. Bb2 Qd6
81;A00;Polish Opening: Grigorian Variation;1. b4 Nc6
82;A00;Polish Opening: Karniewski Variation;1. b4 Nh6
83;A00;Polish Opening: King's Indian Variation;1. b4 Nf6 2. Bb2 g6
84;A00;Polish Opening: King's Indian Variation, Schiffler Attack;1. b4 Nf6 2. Bb2 g6 3. e4
85;A00;Polish Opening: Myers Variation;1. b4 d5 2. Bb2 c6 3. a4
86;A00;Polish Opening: Orangutan-Diemer Gambit;1. b4 d5 2. Bb2 Qd6 3. a3 e5 4. e4 dxe4 5. f3
87;A00;Polish Opening: Orangutan-Hartlaub Gambit;1. b4 Nf6 2. Bb2 e6 3. a3 c6 4. d3 a5 5. bxa5 d5 6. e4
88;A00;Polish Opening: Outflank Variation;1. b4 c6
89;A00;Polish Opening: Queen's Indian Variation;1. b4 e6 2. Bb2 Nf6 3. b5 b6
90;A00;Polish Opening: Queenside Defense;1. b4 e6 2. Bb2 Nf6 3. b5 a6
91;A00;Polish Opening: Rooks Swap Line;1. b4 e6 2. Bb2 Nf6 3. b5 a6 4. a4 axb5 5. axb5 Rxa1 6. Bxa1
92;A00;Polish Opening: Schiffler-Sokolsky Variation;1. b4 e6 2. Bb2 Nf6 3. b5 d5 4. e3
93;A00;Polish Opening: Schuehler Gambit;1. b4 c6 2. Bb2 a5 3. b5 cxb5 4. e4
94;A00;Polish Opening: Symmetrical Variation;1. b4 b5
95;A00;Polish Opening: Tartakower Gambit;1. b4 e5 2. Bb2 f6 3. e4
96;A00;Polish Opening: Tartakower Gambit, Brinckmann Variation;1. b4 e5 2. Bb2 f6 3. e4 Bxb4 4. Bc4 Nc6 5. f4 Qe7 6. f5 g6
97;A00;Polish Opening: Wolferts Gambit;1. b4 e5 2. Bb2 c5
98;A00;Saragossa Opening;1. c3
99;A00;Sodium Attack;1. Na3
100;A00;Sodium Attack: Celadon Variation;1. Na3 e5 2. d3 Bxa3 3. bxa3 d5 4. e3 c5 5. Rb1
101;A00;Sodium Attack: Chenoboskion Variation;1. Na3 g6 2. g4
102;A00;Sodium Attack: Durkin Gambit;1. Na3 e5 2. Nc4 Nc6 3. e4 f5
103;A00;Valencia Opening;1. d3 e5 2. Nd2
104;A00;Van Geet Opening;1. Nc3
105;A00;Van Geet Opening: Battambang Variation;1. a3 e5 2. Nc3
106;A00;Van Geet Opening: Billockus-Johansen Gambit;1. Nc3 e5 2. Nf3 Bc5
107;A00;Van Geet Opening: Caro-Kann Variation, St. Patrick's Attack;1. Nc3 d5 2. e4 c6 3. h3
108;A00;Van Geet Opening: Damhaug Gambit;1. Nc3 d5 2. f4 e5
109;A00;Van Geet Opening: Dougherty Gambit;1. Nc3 d5 2. e4 dxe4 3. f3
110;A00;Van Geet Opening: Dunst-Perrenet Gambit;1. Nc3 d5 2. e4 dxe4 3. d3
111;A00;Van Geet Opening: Düsseldorf Gambit;1. Nc3 c5 2. b4
112;A00;Van Geet Opening: Gladbacher Gambit;1. Nc3 e5 2. b3 d5 3. e4 dxe4 4. d3
113;A00;Van Geet Opening: Hector Gambit;1. Nc3 d5 2. e4 dxe4 3. Bc4
114;A00;Van Geet Opening: Hergert Gambit;1. Nc3 d6 2. f4 e5 3. fxe5 Nc6
115;A00;Van Geet Opening: Hulsemann Gambit;1. Nc3 e5 2. e3 d5 3. Qh5 Be6
116;A00;Van Geet Opening: Jendrossek Gambit;1. Nc3 d5 2. f4 d4 3. Ne4 f5 4. Nf2 Nf6 5. Nf3 c5 6. b4
117;A00;Van Geet Opening: Kluever Gambit;1. Nc3 f5 2. e4 fxe4 3. d3
118;A00;Van Geet Opening: Laroche Gambit;1. Nc3 b5
119;A00;Van Geet Opening: Liebig Gambit;1. Nc3 e5 2. e3 d5 3. Qh5 Nf6
120;A00;Van Geet Opening: Melleby Gambit;1. Nc3 d5 2. f4 d4 3. Ne4 c5
121;A00;Van Geet Opening: Myers Attack;1. Nc3 g6 2. h4
122;A00;Van Geet Opening: Napoleon Attack;1. Nc3 e5 2. Nf3 Nc6 3. d4
123;A00;Van Geet Opening: Novosibirsk Variation;1. Nc3 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qh4
124;A00;Van Geet Opening: Pfeiffer Gambit;1. Nc3 d5 2. f4 d4 3. Ne4 e5
125;A00;Van Geet Opening: Pfeiffer Gambit, Sleipnir Countergambit;1. Nc3 d5 2. f4 d4 3. Ne4 e5 4. Nf3
126;A00;Van Geet Opening: Reversed Nimzowitsch;1. Nc3 e5
127;A00;Van Geet Opening: Reversed Scandinavian;1. Nc3 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qa4
128;A00;Van Geet Opening: Sicilian Two Knights;1. Nc3 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4
129;A00;Van Geet Opening: Sleipnir Gambit;1. Nc3 d5 2. e3 e5 3. d4 Bb4
130;A00;Van Geet Opening: Twyble Attack;1. Nc3 c5 2. Rb1
131;A00;Van Geet Opening: Tübingen Gambit;1. Nc3 Nf6 2. g4
132;A00;Van Geet Opening: Venezolana Variation;1. Nc3 d5 2. d3 Nf6 3. g3
133;A00;Van Geet Opening: Warsteiner Gambit;1. Nc3 d5 2. f4 g5
134;A00;Van't Kruijs Opening;1. e3
135;A00;Van't Kruijs Opening: Bouncing Bishop Variation;1. e3 e5 2. Bc4 b5 3. Bb3
136;A00;Van't Kruijs Opening: Keoni-Hiva Gambit Delayed;1. e3 d5 2. Nc3 Nf6 3. a3 e5 4. f4 exf4 5. Nf3
137;A00;Van't Kruijs Opening: Keoni-Hiva Gambit, Akahi Variation;1. e3 e5 2. Nc3 Nf6 3. f4 exf4 4. Nf3
138;A00;Van't Kruijs Opening: Keoni-Hiva Gambit, Alua Variation;1. e3 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3
139;A00;Van't Kruijs Opening: Keoni-Hiva Gambit, Ekolu Variation;1. e3 e5 2. Nc3 d5 3. f4 exf4 4. Nf3
140;A00;Venezolana Opening;1. d3 c5 2. Nc3 Nc6 3. g3
141;A00;Ware Opening;1. a4
142;A00;Ware Opening: Cologne Gambit;1. a4 b6 2. d4 d5 3. Nc3 Nd7
143;A00;Ware Opening: Meadow Hay Trap;1. a4 e5 2. Ra3
144;A00;Ware Opening: Ware Gambit;1. a4 e5 2. a5 d5 3. e3 f5 4. a6
145;A00;Ware Opening: Wing Gambit;1. a4 b5 2. axb5 Bb7
146;A00;Zukertort Opening: Reversed Mexican Defense;1. Nc3 d5 2. Nf3
147;A01;Nimzo-Larsen Attack;1. b3
148;A01;Nimzo-Larsen Attack: Classical Variation;1. b3 d5
149;A01;Nimzo-Larsen Attack: Dutch Variation;1. b3 f5
150;A01;Nimzo-Larsen Attack: English Variation;1. b3 c5
151;A01;Nimzo-Larsen Attack: Graz Attack;1. b3 d5 2. Ba3
152;A01;Nimzo-Larsen Attack: Indian Variation;1. b3 Nf6
153;A01;Nimzo-Larsen Attack: Modern Variation;1. b3 e5
154;A01;Nimzo-Larsen Attack: Modern Variation;1. b3 e5 2. Bb2 Nc6
155;A01;Nimzo-Larsen Attack: Modern Variation;1. b3 e5 2. Bb2 Nc6 3. e3
156;A01;Nimzo-Larsen Attack: Pachman Gambit;1. b3 e5 2. Bb2 Nc6 3. f4
157;A01;Nimzo-Larsen Attack: Polish Variation;1. b3 b5
158;A01;Nimzo-Larsen Attack: Ringelbach Gambit;1. b3 f5 2. Bb2 e6 3. e4
159;A01;Nimzo-Larsen Attack: Spike Variation;1. b3 Nf6 2. Bb2 g6 3. g4
160;A01;Nimzo-Larsen Attack: Symmetrical Variation;1. b3 b6
161;A02;Bird Opening;1. f4
162;A02;Bird Opening;1. f4 Nf6
163;A02;Bird Opening: Batavo-Polish Attack;1. f4 Nf6 2. Nf3 g6 3. b4
164;A02;Bird Opening: From's Gambit;1. f4 e5
165;A02;Bird Opening: From's Gambit, Bahr Gambit;1. f4 e5 2. Nc3
166;A02;Bird Opening: From's Gambit, Langheld Gambit;1. f4 e5 2. fxe5 d6 3. exd6 Nf6
167;A02;Bird Opening: From's Gambit, Lasker Variation;1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 g5
168;A02;Bird Opening: From's Gambit, Lipke Variation;1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 Nh6 5. d4
169;A02;Bird Opening: Hobbs Gambit;1. f4 g5
170;A02;Bird Opening: Hobbs-Zilbermints Gambit;1. f4 h6 2. Nf3 g5
171;A02;Bird Opening: Horsefly Defense;1. f4 Nh6
172;A02;Bird Opening: Lasker Gambit;1. f4 e5 2. fxe5 f6
173;A02;Bird Opening: Mujannah;1. f4 Nf6 2. c4
174;A02;Bird Opening: Myers Defense;1. f4 b5
175;A02;Bird Opening: Platz Gambit;1. f4 e5 2. fxe5 Ne7
176;A02;Bird Opening: Schlechter Gambit;1. f4 e5 2. fxe5 Nc6
177;A02;Bird Opening: Siegener Gambit;1. f4 e5 2. d4 exd4 3. Nf3 c5 4. c3
178;A02;Bird Opening: Swiss Gambit;1. f4 f5 2. e4 fxe4 3. Nc3 Nf6 4. g4
179;A02;Bird Opening: Wagner-Zwitersch Gambit;1. f4 f5 2. e4
180;A02;System: Double Duck Formation;1. f4 f5 2. d4 d5
181;A03;Bird Opening: Dutch Variation;1. f4 d5
182;A03;Bird Opening: Dutch Variation, Dudweiler Gambit;1. f4 d5 2. g4
183;A03;Bird Opening: Lasker Variation;1. f4 d5 2. Nf3 Nf6 3. e3 c5
184;A03;Bird Opening: Sturm Gambit;1. f4 d5 2. c4
185;A03;Bird Opening: Thomas Gambit;1. f4 d5 2. b3 Nf6 3. Bb2 d4 4. Nf3 c5 5. e3
186;A03;Bird Opening: Williams Gambit;1. f4 d5 2. e4
187;A03;Bird Opening: Williams Gambit;1. f4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Qe2
188;A03;Bird Opening: Williams-Zilbermints Gambit;1. f4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Nge2
189;A04;Colle System: Rhamphorhynchus Variation;1. Nf3 c5 2. e3 g6 3. d4 Bg7 4. dxc5 Qa5+
190;A04;Modern Defense: Semi-Averbakh Variation, Polish Variation;1. Nf3 c5 2. c4 g6 3. d4 Bg7 4. e4 Qb6
191;A04;Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation;1. Nf3 c5 2. c4 g6 3. d4 Bg7 4. e4 Qa5+
192;A04;Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation Accepted;1. Nf3 g6 2. d4 Bg7 3. e4 d6 4. c4 c5 5. dxc5 Qa5+
193;A04;Zukertort Opening;1. Nf3
194;A04;Zukertort Opening: Arctic Defense;1. Nf3 f6
195;A04;Zukertort Opening: Arctic Defense, Drunken Knight Variation;1. Nf3 f6 2. e4 Nh6 3. d4 Nf7
196;A04;Zukertort Opening: Basman Defense;1. Nf3 h6
197;A04;Zukertort Opening: Black Mustang Defense;1. Nf3 Nc6
198;A04;Zukertort Opening: Drunken Cavalry Variation;1. Nf3 Na6 2. e4 Nh6
199;A04;Zukertort Opening: Dutch Variation;1. Nf3 f5
200;A04;Zukertort Opening: Herrstrom Gambit;1. Nf3 g5
201;A04;Zukertort Opening: Kingside Fianchetto;1. Nf3 g6
202;A04;Zukertort Opening: Lisitsyn Gambit;1. Nf3 f5 2. e4
203;A04;Zukertort Opening: Lisitsyn Gambit Deferred;1. Nf3 f5 2. d3 Nf6 3. e4
204;A04;Zukertort Opening: Pirc Invitation;1. Nf3 d6
205;A04;Zukertort Opening: Polish Defense;1. Nf3 b5
206;A04;Zukertort Opening: Queen's Gambit Invitation;1. Nf3 e6
207;A04;Zukertort Opening: Queenside Fianchetto Variation;1. Nf3 b6
208;A04;Zukertort Opening: Ross Gambit;1. Nf3 e5
209;A04;Zukertort Opening: Shabalov Gambit;1. Nf3 e6 2. c4 a6 3. Nc3 c5 4. g3 b5
210;A04;Zukertort Opening: Sicilian Invitation;1. Nf3 c5
211;A04;Zukertort Opening: Slav Invitation;1. Nf3 c6
212;A04;Zukertort Opening: Speelsmet Gambit;1. Nf3 c5 2. d4 cxd4 3. e3
213;A04;Zukertort Opening: St. George Defense;1. Nf3 a6
214;A04;Zukertort Opening: The Walrus;1. Nf3 e5 2. Nxe5 Nc6 3. Nxc6 dxc6
215;A04;Zukertort Opening: Vos Gambit;1. Nf3 d6 2. d4 e5
216;A04;Zukertort Opening: Wade Defense;1. Nf3 d6 2. e4 Bg4
217;A04;Zukertort Opening: Ware Defense;1. Nf3 a5
218;A05;King's Indian Attack;1. Nf3 Nf6 2. g3 d5
219;A05;King's Indian Attack: Smyslov Variation;1. Nf3 Nf6 2. g3 g6 3. b4
220;A05;King's Indian Attack: Spassky Variation;1. Nf3 Nf6 2. g3 b5
221;A05;King's Indian Attack: Symmetrical Defense;1. Nf3 Nf6 2. g3 g6
222;A05;King's Indian Attack: Wahls Defense;1. Nf3 Nf6 2. g3 g6 3. Bg2 Bg7 4. O-O O-O 5. d3 d5
223;A05;Polish Opening: Zukertort System;1. Nf3 Nf6 2. b4
224;A05;Zukertort Opening;1. Nf3 Nf6
225;A05;Zukertort Opening;1. Nf3 Nf6 2. Nc3 Nc6
226;A05;Zukertort Opening: Double Fianchetto Attack;1. Nf3 Nf6 2. g3 g6 3. b3 Bg7 4. Bb2 O-O 5. Bg2 d6 6. O-O
227;A05;Zukertort Opening: Lemberger Gambit;1. Nf3 Nf6 2. e4
228;A05;Zukertort Opening: Myers Polish Attack;1. Nf3 Nf6 2. a4 g6 3. b4
229;A05;Zukertort Opening: Nimzo-Larsen Variation;1. Nf3 Nf6 2. b3
230;A05;Zukertort Opening: Quiet System;1. Nf3 Nf6 2. e3
231;A06;Nimzo-Larsen Attack: Classical Variation;1. Nf3 d5 2. b3
232;A06;Nimzo-Larsen Attack: Norfolk Gambit;1. Nf3 d5 2. b3 c5 3. e4
233;A06;Nimzo-Larsen Attack: Norfolk Gambit;1. Nf3 d5 2. b3 Nf6 3. Bb2 c5 4. e4
234;A06;Zukertort Opening;1. Nf3 d5
235;A06;Zukertort Opening: Ampel Variation;1. Nf3 d5 2. Rg1
236;A06;Zukertort Opening: Old Indian Attack;1. Nf3 d5 2. d3
237;A06;Zukertort Opening: Pachman Gambit;1. Nf3 d5 2. e3 c5 3. c4 dxc4 4. b3
238;A06;Zukertort Opening: Regina-Nu Gambit;1. Nf3 d5 2. b3 c5 3. c4 dxc4 4. Nc3
239;A06;Zukertort Opening: Santasiere's Folly;1. b4 d5 2. Nf3
240;A06;Zukertort Opening: Tennison Gambit;1. e4 d5 2. Nf3
241;A06;Zukertort Opening: The Potato;1. Nf3 d5 2. a4
242;A07;English Opening: Anglo-Indian Defense, Grünfeld Formation;1. g3 d5 2. Nf3 g6 3. c4 Nf6
243;A07;Hungarian Opening: Wiedenhagen-Beta Gambit;1. g3 d5 2. Nf3 g5
244;A07;King's Indian Attack;1. Nf3 d5 2. g3
245;A07;King's Indian Attack: Double Fianchetto;1. Nf3 d5 2. g3 g6
246;A07;King's Indian Attack: Keres Variation;1. Nf3 d5 2. g3 Bg4
247;A07;King's Indian Attack: Keres Variation;1. Nf3 d5 2. g3 Bg4 3. Bg2 Nd7
248;A07;King's Indian Attack: Omega-Delta Gambit;1. Nf3 d5 2. g3 e5
249;A07;King's Indian Attack: Pachman System;1. Nf3 d5 2. g3 g6 3. Bg2 Bg7 4. O-O e5 5. d3 Ne7
250;A07;King's Indian Attack: Sicilian Variation;1. Nf3 d5 2. g3 c5
251;A07;King's Indian Attack: Yugoslav Variation;1. Nf3 Nf6 2. g3 d5 3. Bg2 c6 4. O-O Bg4
252;A08;King's Indian Attack: French Variation;1. Nf3 d5 2. g3 c5 3. Bg2 Nc6
253;A08;King's Indian Attack: Sicilian Variation;1. e4 e6 2. d3 d5 3. Nd2 Nf6 4. Ngf3 c5 5. g3 Nc6 6. Bg2 Be7 7. O-O O-O 8. Re1
254;A08;King's Indian Attack: Sicilian Variation;1. Nf3 d5 2. g3 c5 3. Bg2
255;A08;Zukertort Opening: Grünfeld Reversed;1. Nf3 d5 2. g3 c5 3. Bg2 Nc6 4. d4 e6 5. O-O
256;A09;Réti Opening;1. Nf3 d5 2. c4
257;A09;Réti Opening: Advance Variation;1. Nf3 d5 2. c4 d4
258;A09;Réti Opening: Advance Variation, Michel Gambit;1. Nf3 d5 2. c4 d4 3. b4 c5
259;A09;Réti Opening: Penguin Variation;1. Nf3 d5 2. c4 d4 3. Rg1
260;A09;Réti Opening: Reversed Blumenfeld Gambit;1. Nf3 d5 2. c4 d4 3. e3 c5 4. b4
261;A09;Réti Opening: Réti Accepted;1. Nf3 d5 2. c4 dxc4
262;A09;Réti Opening: Réti Gambit, Keres Variation;1. Nf3 d5 2. c4 dxc4 3. e3 Be6
263;A09;Réti Opening: Zilbermints Gambit;1. Nf3 d5 2. c4 b5
264;A10;Dutch Defense: Krause Variation;1. c4 f5 2. Nc3 Nf6 3. Nf3 Nc6 4. d4 d6
265;A10;English Opening;1. c4
266;A10;English Opening: Adorjan Defense;1. c4 g6 2. e4 e5
267;A10;English Opening: Anglo-Dutch Defense;1. c4 f5
268;A10;English Opening: Anglo-Dutch Defense, Hickmann Gambit;1. c4 f5 2. e4
269;A10;English Opening: Anglo-Dutch Variation, Chabanon Gambit;1. c4 f5 2. Nf3 d6 3. e4
270;A10;English Opening: Anglo-Dutch Variation, Ferenc Gambit;1. c4 f5 2. Nc3 Nf6 3. e4
271;A10;English Opening: Anglo-Lithuanian Variation;1. c4 Nc6
272;A10;English Opening: Anglo-Scandinavian Defense;1. c4 d5
273;A10;English Opening: Anglo-Scandinavian Defense, Löhn Gambit;1. c4 d5 2. cxd5 e6
274;A10;English Opening: Anglo-Scandinavian Defense, Malvinas Variation;1. c4 d5 2. cxd5 Qxd5 3. Nc3 Qa5
275;A10;English Opening: Anglo-Scandinavian Defense, Schulz Gambit;1. c4 d5 2. cxd5 Nf6
276;A10;English Opening: Great Snake Variation;1. c4 g6
277;A10;English Opening: Jaenisch Gambit;1. c4 b5
278;A10;English Opening: King's English Variation, Botvinnik System, Prickly Pawn Pass System;1. c4 g6 2. Nc3 Bg7 3. g3 Nf6 4. Bg2 O-O 5. e4 d6 6. Nge2 e5 7. O-O c6 8. d3 a6
279;A10;English Opening: Myers Variation;1. c4 g5 2. d4 Bg7
280;A10;English Opening: Porcupine Variation;1. c4 f5 2. Nc3 Nf6 3. e4 fxe4 4. g4
281;A10;English Opening: Wade Gambit;1. c4 f5 2. g4
282;A10;English Opening: Zilbermints Gambit;1. c4 g5 2. d4 e5
283;A10;King's Indian Defense: Semi-Classical Variation, Exchange Variation;1. c4 g6 2. Nc3 Bg7 3. e3 Nf6 4. d4 O-O 5. Nf3 d6 6. Be2 Nbd7 7. O-O e5 8. dxe5 dxe5
284;A10;Modern Defense: Averbakh Variation, Pseudo-Sämisch;1. c4 g6 2. e4 Bg7 3. d4 d6 4. Be3 Nf6 5. f3
285;A10;Modern Defense: Neo-Modern Defense;1. c4 g6 2. e4 Bg7 3. d4 e5
286;A11;English Opening: Caro-Kann Defensive System;1. c4 c6
287;A12;Réti Opening: Anglo-Slav Variation, Bled Variation;1. Nf3 d5 2. b3 Nf6 3. Bb2 g6 4. c4 c6
288;A12;Réti Opening: Anglo-Slav Variation, Bogoljubov Variation;1. Nf3 d5 2. c4 c6 3. b3
289;A12;Réti Opening: Anglo-Slav Variation, Bogoljubov Variation;1. Nf3 d5 2. c4 c6 3. b3 Bg4
290;A12;Réti Opening: Anglo-Slav Variation, Bogoljubov Variation;1. Nf3 Nf6 2. c4 c6 3. b3 d5 4. Bb2
291;A12;Réti Opening: Anglo-Slav Variation, Capablanca Variation;1. c4 Nf6 2. Nf3 c6 3. b3 d5 4. Bb2 Bg4
292;A12;Réti Opening: Anglo-Slav Variation, London Defensive System;1. c4 Nf6 2. g3 c6 3. Nf3 d5 4. b3 Bf5
293;A12;Réti Opening: Anglo-Slav Variation, New York System;1. Nf3 Nf6 2. c4 c6 3. b3 d5 4. Bb2 Bf5
294;A12;Réti Opening: Anglo-Slav Variation, Torre System;1. c4 Nf6 2. g3 c6 3. Nf3 d5 4. b3 Bg4
295;A13;English Opening: Agincourt Defense;1. c4 e6
296;A13;English Opening: Agincourt Defense;1. c4 e6 2. Nf3
297;A13;English Opening: Agincourt Defense;1. c4 e6 2. Nf3 d5
298;A13;English Opening: Agincourt Defense, Bogoljubov Defense;1. Nf3 Nf6 2. c4 e6 3. g3 d5 4. Bg2 Bd6
299;A13;English Opening: Agincourt Defense, Catalan Defense;1. Nf3 d5 2. c4 e6 3. g3 b6 4. Bg2 Bb7 5. O-O
300;A13;English Opening: Agincourt Defense, Catalan Defense;1. Nf3 d5 2. c4 e6 3. g3 c5
